Page,Auteur  ,Sexe,Pays,Nombre Haikus,,,
ahes-r ,Radwan Ahesaten ,H,- Maroc,1,,,Nombre de haikus
alex-m ,Marlène Alexa ,F,Alexandrie - Egypte,20,,F,689
alsa-m ,Mohamad Alsari ,H,Alep - Syria,37,,H,1403
ambr-p ,Philippe Ambroise ,H,- France,3,,?,55
anna ,anna ,F,Cévennes - France,1,,,
arna-v ,Véronique Arnault ,F,- France,1,,,
asun-i ,Isabel Asunsolo ,F,Beauvais - France,42,,,
aubr-f ,Francine Aubry ,F,Le Relecq-Kerhuon - France,2,,,
aucl-p ,Philippe Auclert ,H,- France,1,,,
bake-c ,Catherine Baker ,F,Oxfordshire - England,1,,,
bala-i ,Israel Balan ,H,Mexico-City - Mexico,3,,,
bard-c ,Christiane Bardoux ,F,- Belgique,1,,,
baud-v ,Valérie Baudet ,F,- France,1,,,
bazin-b ,Bozena Bazin ,F,Champagne - France,1,,,
beau-a ,Angélique Beauchemin ,F,", Québec - Canada",2,,,
beau-m ,Micheline Beaudry ,F,"Boucherville, Québec - Canada",28,,,
bell-j ,Janick Belleau ,F,"Montréal, Québec - Canada",5,,,
bikko ,Bikko ,H,Poitiers - France,24,,,
bilq-b ,Bill Bilquin ,H,Bruxelles - Belgique,41,,,
bois-h ,Hélène Boissé ,H,Québec - Canada,1,,,
bonn-m ,Marianne Bonnin ,F,Viroflay - France,2,,,
bouc-h ,Hélène Bouchard ,F,"Sept-Iles, QC - Canada",2,,,
boul-j ,Josiane Boulanger ,F,Bruxelles - Belgique,1,,,
brah-n ,Nicole Braham ,F,Paris - France,1,,,
breh-p ,Philippe Bréham ,H,- France,2,,,
brei-r ,Richard Breitner ,H,Paris - France,11,,,
bret-d ,Didier Bretin ,H,- France,1,,,
bria-b ,Brigitte Briatte ,F,- France,1,,,
brill-y ,Yves Brillon ,H,Montreal - Canada,8,,,
brul-g ,Gilles Brulet ,H,- France,3,,,
buis-v ,Virginie Buisson Slusarski ,F,- France,1,,,
bull-s ,Sema Bulle ,?,Paris - France,1,,,
burl-j ,Jeremiah Burlington ,H,Paris - France,1,,,
carv-c ,Cassia Carvalho-Maccari ,F,- France,1,,,
casa-t ,Thierry Casanovas ,H,- France,6,,,
cayo-f ,France Cayouette ,F,Baie des Chaleurs - Canada,1,,,
cayr-a ,André Cayrel ,H,Montpellier - France,62,,,
cesa-jc ,Jean-Claude César ,H,Lunel - France,38,,,
