,Haiku,Sexe réel,Sexe prédit,Proba prédite homme,Proba prédite femme
2582,lever du drapeau -\\l'uniforme de vieux vétéran\\pendouille,H,H,0.08,0.92
1194,lune ronde\\à la porte la vieille égrène\\son chapelet,F,H,0.28,0.72
1323,Deux ailes d'oiseau\\ton rouge à lèvres\\sur l'harmonica,H,H,0.32,0.68
1277,blottis tout l’hiver\\les décolletés blancs\\tremblotent enfin,H,H,0.4,0.6
517,neige fraîche . . . \\à côté du nouveau calendrier\\une ardoise propre,F,H,0.26,0.74
3005,en blouson noir\\sous des arbres\\aux fleurs roses,H,F,0.52,0.48
271,croissant de lune --\\elle coupe ses ongles\\dans le jardin,H,H,0.44,0.56
1690,Une soeur et un moine\\lisent ensemble un livre\\en deux langues,F,H,0.3,0.7
2171,odeur de paille sèche -\\les lumières d'une moissonneuse\\au fond de la nuit,H,F,0.5,0.5
1450,Pieds dans le lac ~\\Autour de mes chevilles\\quelques nuages,F,H,0.4,0.6
1208,Décombres-\\dans l'œil vide de la poupée\\les gouttes de la pluie tombent,H,H,0.4,0.6
2744,une longue réunion --\\du marqueur indélébile\\sur le tableau,H,H,0.14,0.86
441,(la bruyère encore en fleur -\\un long chemin pour conduire Maman\\de retour à l'hospice),H,F,0.5,0.5
2618,dimanche sans fin -\\un bonhomme de neige\\dans la cour de l'école,H,H,0.38,0.62
2415,me souvenant de toi\\froid et chaud\\dans la même brise,H,H,0.3,0.7
342,soir de printemps\\le croissant de la lune éclaire\\le reste de la lune,H,H,0.2,0.8
1335,sa peau scintille dans la lueur de la télévision pluie sur la fenêtre,H,H,0.2,0.8
385,Petite pluie fine\\Dans la benne aux encombrants\\des jouets meurtris,H,H,0.4,0.6
215,   Sur la baie\\   la pleine lune d'Août monte\\   comme les jours raccourcissent,F,F,0.56,0.44
2725,dans l'ombre du jardin\\le soleil marque\\le rouge de la crête du coq,H,H,0.46,0.54
2681,Les hurlements du vent et\\les cèdres qui se balancent --\\marins ivres,F,H,0.36,0.64
822,lune pâle -\\les os blanchis au soleil\\d'un moineau,H,H,0.18,0.82
338,mon plan de retraite\\les rides\\dans une flaque de boue,H,H,0.16,0.84
2953,la veranda\\avant la mise en bocaux -\\senteurs de pêches,H,H,0.16,0.84
1762,du cerisier\\brûle dans l'âtre -\\pluie d'automne,H,H,0.32,0.68
683,avec un gros crayon -\\le prix\\des fraises,H,H,0.12,0.88
1529,le lierre a recouvert\\le trou de la toiture\\- train du retour,H,H,0.1,0.9
407,"faucon, sur un poteau de cloture\\première lueur,\\la pluie une sorte de brouillard.",H,H,0.3,0.7
999,(Dans l'obscurité du matin\\tasse de café en main\\regretter le soleil),F,H,0.44,0.56
1381,pensées vagabondes -\\du sang sur le tranchant\\de la cisaille,H,H,0.16,0.84
1192,bal des pompiers\\elle a ressorti sa robe\\d’avant les enfants,H,H,0.32,0.68
1837,coupant en dés\\des quartiers de pomme -\\la lune à la fenêtre,H,H,0.28,0.72
314,zazen —\\cette mouche qui se heurte\\contre la vitre ensoleillée,H,H,0.18,0.82
1054,givre sur le pare-brise --\\je me souviens combien\\j'ai bu la nuit dernière,H,H,0.2,0.8
2434,Retour de colo\\il parle des rouges-gorges\\d'une autre voix,F,H,0.22,0.78
86,lentement\\le scarabée avance\\tempête de juin,H,H,0.18,0.82
2179,café amer –\\des bris de vitrines\\sous mes semelles,H,H,0.34,0.66
823,dimanche 7/1/7\\le couteau à cheval\\sur la fève,H,H,0.12,0.88
50,Ciel nuageux\\le soleil un rouge vif\\première tasse de café,F,F,0.64,0.36
3013,neige couvre le givre--\\jouant une pièce gaie au violon\\mince lumiere sous ta porte,F,H,0.34,0.66
2142,Blanche\\comme un linceul\\la piste noire,F,H,0.1,0.9
2548,un frisson soudain\\dans le passage à l'ombre -\\l'odeur des aubépines,H,H,0.26,0.74
1567,Page blanche\\l'ombre du stylo\\immobile,H,H,0.24,0.76
1466,le brouillard tourne en pluie\\dernier jour de notre chat,H,H,0.46,0.54
2752,   jour de printemps\\   froid et gris\\   une tasse de thé,F,F,0.54,0.46
1148,La lune sur les cèdres\\dans la forêt pluviale\\l'odeur de toi,F,H,0.4,0.6
2532,vieux pommier -\\un bruit de scie emplit\\l'espace vide,H,H,0.22,0.78
1239,Librairie Sauramps\\Des haïkus du bord de mer\\pour passer l'hiver,H,H,0.22,0.78
1738,Ombres d'épitaphes\\les tombes s'allongent\\au soleil couchant,H,H,0.14,0.86
1921,l'orage ce matin\\un demi-cercle parfait\\du rosier en fleurs,F,H,0.34,0.66
3162,automne profond~\\nichée sur mes doigts l'odeur\\de mandarine,F,H,0.4,0.6
1893,   soir de pleine lune\\   - les seins des mannequins\\   dans la vitrine,H,H,0.28,0.72
2747,après la pluie une rue d'hiver pleine de lunes,H,H,0.28,0.72
1023,nuit sans lune --\\tirant le chien\\d'ombre en ombre,H,H,0.16,0.84
1098,ouvrir la fenêtre\\et humer le lilas blanc\\éclos cette nuit,H,H,0.16,0.84
1612,fumeurs agglutinés --\\une autre conversation\\sur le Cloud,H,H,0.04,0.96
2405,Les bas quadrillés\\sur les belles cuisses de cette femme\\- sudoku ?,H,H,0.28,0.72
2634,ville fantôme --\\un coq chante\\sans aucune raison,H,H,0.1,0.9
2858,personne ne voit\\les kakis rouges du\\jardin abandonné,H,H,0.1,0.9
1445,un ciel gris plane\\une petite fissure dans les nuages épais\\les bateaux de pêche rentrent,F,H,0.4,0.6
103,fin de l’été\\le trou de la poche du short\\encore plus grand,F,F,0.54,0.46
2414,reflets de la lune\\sur les canettes de Coca\\- benne à ferraille,H,H,0.26,0.74
1022,poubelle --\\des mouches\\et les ombres des mouches,H,H,0.18,0.82
