,Haiku,Sexe réel,Sexe prédit,Proba prédite homme,Proba prédite femme
2582,lever du drapeau -\\l'uniforme de vieux vétéran\\pendouille,H,H,0.25791243150920173,0.7420875684907983
1194,lune ronde\\à la porte la vieille égrène\\son chapelet,F,H,0.2516774875749497,0.7483225124250503
1323,Deux ailes d'oiseau\\ton rouge à lèvres\\sur l'harmonica,H,H,0.35352010842418047,0.6464798915758195
1277,blottis tout l’hiver\\les décolletés blancs\\tremblotent enfin,H,H,0.35637167028826555,0.6436283297117344
517,neige fraîche . . . \\à côté du nouveau calendrier\\une ardoise propre,F,H,0.29340758737998274,0.7065924126200173
3005,en blouson noir\\sous des arbres\\aux fleurs roses,H,H,0.4393194585667787,0.5606805414332213
271,croissant de lune --\\elle coupe ses ongles\\dans le jardin,H,H,0.26867676402047036,0.7313232359795296
1690,Une soeur et un moine\\lisent ensemble un livre\\en deux langues,F,H,0.3583784226022372,0.6416215773977628
2171,odeur de paille sèche -\\les lumières d'une moissonneuse\\au fond de la nuit,H,H,0.4384947665085899,0.5615052334914101
1450,Pieds dans le lac ~\\Autour de mes chevilles\\quelques nuages,F,H,0.3728017510032213,0.6271982489967787
1208,Décombres-\\dans l'œil vide de la poupée\\les gouttes de la pluie tombent,H,H,0.2886537084558646,0.7113462915441354
2744,une longue réunion --\\du marqueur indélébile\\sur le tableau,H,H,0.2790340923089648,0.7209659076910352
441,(la bruyère encore en fleur -\\un long chemin pour conduire Maman\\de retour à l'hospice),H,H,0.36728066388651814,0.6327193361134819
2618,dimanche sans fin -\\un bonhomme de neige\\dans la cour de l'école,H,H,0.2732091858983493,0.7267908141016507
2415,me souvenant de toi\\froid et chaud\\dans la même brise,H,H,0.3297160455683936,0.6702839544316064
342,soir de printemps\\le croissant de la lune éclaire\\le reste de la lune,H,H,0.2250457313519213,0.7749542686480787
1335,sa peau scintille dans la lueur de la télévision pluie sur la fenêtre,H,H,0.30400158616044337,0.6959984138395566
385,Petite pluie fine\\Dans la benne aux encombrants\\des jouets meurtris,H,H,0.3903779309537847,0.6096220690462153
215,   Sur la baie\\   la pleine lune d'Août monte\\   comme les jours raccourcissent,F,H,0.3949772834976909,0.6050227165023091
2725,dans l'ombre du jardin\\le soleil marque\\le rouge de la crête du coq,H,H,0.3484578617030909,0.6515421382969091
2681,Les hurlements du vent et\\les cèdres qui se balancent --\\marins ivres,F,H,0.4553376213843582,0.5446623786156418
822,lune pâle -\\les os blanchis au soleil\\d'un moineau,H,H,0.34870187033447786,0.6512981296655221
338,mon plan de retraite\\les rides\\dans une flaque de boue,H,H,0.2672857028124468,0.7327142971875532
2953,la veranda\\avant la mise en bocaux -\\senteurs de pêches,H,H,0.29095789707835695,0.709042102921643
1762,du cerisier\\brûle dans l'âtre -\\pluie d'automne,H,H,0.310545344835906,0.689454655164094
683,avec un gros crayon -\\le prix\\des fraises,H,H,0.2679577280704012,0.7320422719295988
1529,le lierre a recouvert\\le trou de la toiture\\- train du retour,H,H,0.2635768951884706,0.7364231048115294
407,"faucon, sur un poteau de cloture\\première lueur,\\la pluie une sorte de brouillard.",H,H,0.29524324977189265,0.7047567502281074
999,(Dans l'obscurité du matin\\tasse de café en main\\regretter le soleil),F,H,0.4805361519942266,0.5194638480057734
1381,pensées vagabondes -\\du sang sur le tranchant\\de la cisaille,H,H,0.3233713031044033,0.6766286968955967
1192,bal des pompiers\\elle a ressorti sa robe\\d’avant les enfants,H,H,0.4219314492850218,0.5780685507149782
