,Haiku,Sexe réel,Sexe prédit,Proba prédite homme,Proba prédite femme
3475,café froid --\\le craquement d'une boule de Noël\\sous mon pied,H,H,0.010837591067883956,0.989162408932116
209,Avant de se quitter\\disperser les braises -\\envol des lucioles,H,F,0.843043874007215,0.15695612599278497
1025,sous l'épervier\\faisant le Saint Esprit :\\un tas de fumier,F,H,0.14876097890327078,0.8512390210967292
189,prise dans la Moselle\\une bouteille\\le cul en l'air,H,H,0.00811723405919651,0.9918827659408035
1079,corbeau et bébé lapin\\s'envolent\\pour ne plus faire qu'un,H,H,0.3593912194500536,0.6406087805499464
240,un dernier sursaut\\de la flamme de la bougie\\— il neige à nouveau,F,F,0.676293317128033,0.3237066828719671
2316,premier jour de l'an\\dans le cou des confettis\\de l'an dernier,H,H,0.43647043783897876,0.5635295621610212
898,nuit des étoiles -\\sur son dos nu\\la voie lactée,F,H,0.002247090200484414,0.9977529097995156
1075,temps des étrennes\\près du vieil ordinateur\\une souris neuve,F,H,0.28678239307000297,0.713217606929997
792,midi d'août~\\le soleil mijote au fond\\de la cocotte,F,F,0.8886651015663937,0.1113348984336063
194,thunderstorm --\\a late-night\\visitor,H,H,0.09758020040005999,0.90241979959994
5,Sans toi\\sous le ciel d'hiver\\nos pas perdus,F,F,0.6010379922464952,0.3989620077535048
556,marbres éblouissants\\grincements des robinets\\temps de la Toussaint,H,F,0.8362386215091173,0.16376137849088263
7,"Avant de partir,\\dans le miroir du salon\\tes yeux et les miens.",F,H,0.289439524856023,0.710560475143977
2157,Éclats rouges –\\le cognassier du japon\\réchauffe le jardin,F,H,0.18552214295879532,0.8144778570412047
3146,Dans le vieux meuble\\peint en vert\\le parfum des confitures,F,H,0.4700394577946698,0.5299605422053302
2836,plus grand \\que la boutique du primeur \\le parfum des premières fraises,H,F,0.57174909576974,0.42825090423026
1116,Décombres-\\dans l'œil vide de la poupée\\les gouttes de la pluie tombent,H,H,0.07174229716521863,0.9282577028347814
290,quai de métro \\le mendiant ronfle\\sa bouteille tient debout,H,H,0.0030931652819251587,0.9969068347180748
2867,le niveau baisse\\les pattes des flamands roses\\rallongent,H,H,0.35877104670833593,0.6412289532916641
2680,la lumière\\d'une jonquille au loin\\...lever de soleil,H,H,0.08750422633354638,0.9124957736664536
2829,à mesure\\que la pénombre descend\\l'orange de l'azalée,H,H,0.02333971076424113,0.9766602892357589
16,j'oublie sa voix\\la lettre d'excuses de mon père\\crépite dans le feu,H,H,0.06682383412911252,0.9331761658708875
693,   il m'a embrassée\\   le quatre juillet\\   feux d'artifices !,F,F,0.8921163974589459,0.10788360254105413
834,seul sur la plage\\quelques grains de sable\\rentrent avec moi,H,H,0.03231915617933101,0.967680843820669
1309,premières touffeurs\\des effluves de femmes\\redécouvertes,H,F,0.7665596900550836,0.23344030994491635
1054,Jour des Vétérans --\\un chien apeuré\\à la fourrière,H,H,0.047818681890908876,0.9521813181090911
853,Route des Baleines\\ce rocher noir à bosse\\au ras de l'eau,H,H,0.07706345430147954,0.9229365456985205
2494,matin d'Aïd~\\le rouge sang\\des grenades,F,H,0.4104107860865155,0.5895892139134845
2490,trêve de Noël -\\une petite araignée\\traverse la cuisine,H,H,0.017214479478127154,0.9827855205218728
136,dans le jardin clos\\l'odeur\\des pommes en décomposition,H,H,0.20621039024887966,0.7937896097511203
568,Dansant dans la cour\\des lignes de jonquilles bien rangées\\l'opération a réussi,F,H,0.0057102213602285845,0.9942897786397714
954,championnat de foot\\la lune d'hiver\\sur le stade,H,H,0.05746678190793064,0.9425332180920694
116,dans la souche creuse\\du vieil arbre\\des coquelicots en fleurs,H,F,0.7465819530041772,0.2534180469958228
2801,parc en hiver -\\des ailes blanches et des lumières bleues\\flashant,H,H,0.062286733669261074,0.9377132663307389
187,état de la bourse --\\une auto a calé\\dans le carrefour,H,H,0.1930072359101882,0.8069927640898118
3333,maison de retraite\\ma mère me parle\\de celle aux cheveux gris,H,H,0.23911383398461383,0.7608861660153862
2543,ouvrir la fenêtre\\et humer le lilas blanc\\éclos cette nuit,H,H,0.39023124694084543,0.6097687530591546
3151,fin d'été...\\déjà le soleil se lève\\après moi,F,H,0.4409582357725754,0.5590417642274246
3351,ses épaules bien bronzées\\enveloppées dans un pull-over --\\fin de l'été,H,H,0.4267697201823778,0.5732302798176222
506,embouteillage\\très haut dans le ciel\\un héron passe,H,H,0.06401153641940072,0.9359884635805993
3140,confitures de sureau -\\dans la pénombre de la cuisine\\l'été s'épaissit,H,F,0.6943399181800589,0.30566008181994103
2180,balade du soir\\je patauge dans une flaque\\de lumière,H,H,0.042615107005661734,0.9573848929943383
1156,4 juillet\\plus chaud\\qu'un pétard,H,F,0.9247214806968028,0.07527851930319719
1757,soir d'hiver\\dans la foule un inconnu\\que je connais,F,H,0.06994327104758358,0.9300567289524164
742,jour de Pâques\\ils surveillent leurs oeufs\\les deux pigeons,H,H,0.23659310406831213,0.7634068959316879
263,dehors pour affaires --\\du mannequin nu\\les perles de Canaval,H,H,0.11324751684181,0.88675248315819
43,dans le bol de verveine\\l'ampoule du plafonnier\\- mi-novembre,H,H,0.24970947226399964,0.7502905277360004
3462,"Ascension,\\le soleil\\dans mon café noir",H,H,0.13552911642274534,0.8644708835772547
2923,pêche de nuit -\\avec la lune et orion...\\les poissons,H,H,0.026441084112601376,0.9735589158873986
2039,Lourde pluie de mars\\les jonquilles laissent pendre leurs têtes\\mes pensées lourdes,F,H,0.19142007520673243,0.8085799247932676
3074,seasons stilled --\\a red paper poppy\\in memoriam,F,F,0.6408920585241451,0.35910794147585495
1688,émigrées —\\la diversité prend forme\\dans le potager,F,H,0.31996097275084756,0.6800390272491524
2369,Concombre de mer-\\Une anthologie de haïkus\\pour lui seul,H,H,0.11044191573154094,0.8895580842684591
1830,siège social\\sur les vitres étincelantes\\un oiseau se fracasse.,H,H,0.37791046526850247,0.6220895347314975
824,près de la digue\\un tronc en mouvement\\un castor nage,F,F,0.5191766345578296,0.4808233654421704
460,par ce vasistas\\le soleil ne passait plus\\depuis longtemps,F,H,0.4486676913063694,0.5513323086936306
3091,through a wine glass\\the swaying of\\feathery grass heads,H,H,0.12485524765140543,0.8751447523485946
1635,Matin glacial --\\les montagnes couvertes de la première neige\\chaude tasse de café,F,F,0.9136256132451469,0.0863743867548531
2396,"soleil levant...\\dans mon coquetier, le jaune\\si petit",H,H,0.47119559093087526,0.5288044090691247
2930,remous cristallins-\\dans le bassin sans poissons\\quelques anneaux clairs,F,H,0.48684707872547284,0.5131529212745272
1349,début d'hiver -\\des fenêtres jaunes\\dans l'aube bleue,H,H,0.39730358239684294,0.6026964176031571
