,Haiku,Sexe réel,Sexe prédit,Proba prédite homme,Proba prédite femme
2582,lever du drapeau -\\l'uniforme de vieux vétéran\\pendouille,H,H,0.015541268225516602,0.9844587317744834
1194,lune ronde\\à la porte la vieille égrène\\son chapelet,F,H,0.11539976391934803,0.884600236080652
1323,Deux ailes d'oiseau\\ton rouge à lèvres\\sur l'harmonica,H,H,0.12102141752536455,0.8789785824746355
1277,blottis tout l’hiver\\les décolletés blancs\\tremblotent enfin,H,F,0.5791692869033034,0.4208307130966967
517,neige fraîche . . . \\à côté du nouveau calendrier\\une ardoise propre,F,H,0.1270440044382839,0.8729559955617161
3005,en blouson noir\\sous des arbres\\aux fleurs roses,H,F,0.8033815712333864,0.1966184287666136
271,croissant de lune --\\elle coupe ses ongles\\dans le jardin,H,H,0.05560533201769513,0.9443946679823049
1690,Une soeur et un moine\\lisent ensemble un livre\\en deux langues,F,F,0.716212619229919,0.283787380770081
2171,odeur de paille sèche -\\les lumières d'une moissonneuse\\au fond de la nuit,H,F,0.6213436777672272,0.37865632223277285
1450,Pieds dans le lac ~\\Autour de mes chevilles\\quelques nuages,F,H,0.10925214657683724,0.8907478534231628
1208,Décombres-\\dans l'œil vide de la poupée\\les gouttes de la pluie tombent,H,H,0.026599548347944535,0.9734004516520555
2744,une longue réunion --\\du marqueur indélébile\\sur le tableau,H,H,0.051884761698553494,0.9481152383014465
441,(la bruyère encore en fleur -\\un long chemin pour conduire Maman\\de retour à l'hospice),H,H,0.4634948109063206,0.5365051890936794
2618,dimanche sans fin -\\un bonhomme de neige\\dans la cour de l'école,H,H,0.022564217478132642,0.9774357825218674
2415,me souvenant de toi\\froid et chaud\\dans la même brise,H,H,0.07153726165875463,0.9284627383412454
342,soir de printemps\\le croissant de la lune éclaire\\le reste de la lune,H,H,0.01020021054681397,0.989799789453186
1335,sa peau scintille dans la lueur de la télévision pluie sur la fenêtre,H,H,0.01571444253134291,0.9842855574686571
385,Petite pluie fine\\Dans la benne aux encombrants\\des jouets meurtris,H,F,0.7032705635732623,0.29672943642673766
215,   Sur la baie\\   la pleine lune d'Août monte\\   comme les jours raccourcissent,F,H,0.47044912992594,0.52955087007406
2725,dans l'ombre du jardin\\le soleil marque\\le rouge de la crête du coq,H,H,0.30386031650968226,0.6961396834903177
2681,Les hurlements du vent et\\les cèdres qui se balancent --\\marins ivres,F,F,0.9773329741592187,0.02266702584078128
822,lune pâle -\\les os blanchis au soleil\\d'un moineau,H,H,0.11667230762961578,0.8833276923703842
338,mon plan de retraite\\les rides\\dans une flaque de boue,H,H,0.03377781028357607,0.9662221897164239
2953,la veranda\\avant la mise en bocaux -\\senteurs de pêches,H,H,0.020507108184488976,0.979492891815511
1762,du cerisier\\brûle dans l'âtre -\\pluie d'automne,H,H,0.4149213885187655,0.5850786114812345
683,avec un gros crayon -\\le prix\\des fraises,H,H,0.018240753748377525,0.9817592462516225
1529,le lierre a recouvert\\le trou de la toiture\\- train du retour,H,H,0.04139768339216876,0.9586023166078312
407,"faucon, sur un poteau de cloture\\première lueur,\\la pluie une sorte de brouillard.",H,H,0.05217769644383552,0.9478223035561645
999,(Dans l'obscurité du matin\\tasse de café en main\\regretter le soleil),F,H,0.4080558334137958,0.5919441665862042
1381,pensées vagabondes -\\du sang sur le tranchant\\de la cisaille,H,H,0.2665338968112755,0.7334661031887245
1192,bal des pompiers\\elle a ressorti sa robe\\d’avant les enfants,H,F,0.5452676405514505,0.45473235944854945
1837,coupant en dés\\des quartiers de pomme -\\la lune à la fenêtre,H,H,0.1116747755806573,0.8883252244193427
314,zazen —\\cette mouche qui se heurte\\contre la vitre ensoleillée,H,H,0.17833258472951286,0.8216674152704871
1054,givre sur le pare-brise --\\je me souviens combien\\j'ai bu la nuit dernière,H,H,0.014012947092248984,0.985987052907751
2434,Retour de colo\\il parle des rouges-gorges\\d'une autre voix,F,H,0.034442218270282376,0.9655577817297176
86,lentement\\le scarabée avance\\tempête de juin,H,H,0.1442197736041949,0.8557802263958051
2179,café amer –\\des bris de vitrines\\sous mes semelles,H,F,0.9582438455568134,0.041756154443186554
823,dimanche 7/1/7\\le couteau à cheval\\sur la fève,H,F,0.518029682600273,0.48197031739972696
50,Ciel nuageux\\le soleil un rouge vif\\première tasse de café,F,F,0.690648714451825,0.30935128554817504
3013,neige couvre le givre--\\jouant une pièce gaie au violon\\mince lumiere sous ta porte,F,H,0.35889891192484125,0.6411010880751588
2142,Blanche\\comme un linceul\\la piste noire,F,H,0.4033775990199556,0.5966224009800444
2548,un frisson soudain\\dans le passage à l'ombre -\\l'odeur des aubépines,H,H,0.026654539962196133,0.9733454600378039
1567,Page blanche\\l'ombre du stylo\\immobile,H,H,0.35985254930317634,0.6401474506968237
1466,le brouillard tourne en pluie\\dernier jour de notre chat,H,H,0.031248347789211928,0.9687516522107881
2752,   jour de printemps\\   froid et gris\\   une tasse de thé,F,F,0.9330173938584854,0.0669826061415146
1148,La lune sur les cèdres\\dans la forêt pluviale\\l'odeur de toi,F,F,0.9290640372957143,0.07093596270428566
2532,vieux pommier -\\un bruit de scie emplit\\l'espace vide,H,H,0.2440978250260103,0.7559021749739897
1239,Librairie Sauramps\\Des haïkus du bord de mer\\pour passer l'hiver,H,H,0.09778780368766904,0.902212196312331
1738,Ombres d'épitaphes\\les tombes s'allongent\\au soleil couchant,H,H,0.3226926961634481,0.6773073038365519
1921,l'orage ce matin\\un demi-cercle parfait\\du rosier en fleurs,F,H,0.4186898193933287,0.5813101806066713
3162,automne profond~\\nichée sur mes doigts l'odeur\\de mandarine,F,F,0.9913185752113773,0.008681424788622705
1893,   soir de pleine lune\\   - les seins des mannequins\\   dans la vitrine,H,H,0.015365587107568413,0.9846344128924316
2747,après la pluie une rue d'hiver pleine de lunes,H,H,0.12938834040849412,0.8706116595915059
1023,nuit sans lune --\\tirant le chien\\d'ombre en ombre,H,H,0.04349311805359857,0.9565068819464014
1098,ouvrir la fenêtre\\et humer le lilas blanc\\éclos cette nuit,H,H,0.43107653884088193,0.5689234611591181
1612,fumeurs agglutinés --\\une autre conversation\\sur le Cloud,H,H,0.02332562173383179,0.9766743782661682
2405,Les bas quadrillés\\sur les belles cuisses de cette femme\\- sudoku ?,H,H,0.3209408115293739,0.6790591884706261
2634,ville fantôme --\\un coq chante\\sans aucune raison,H,H,0.08073071475138993,0.9192692852486101
2858,personne ne voit\\les kakis rouges du\\jardin abandonné,H,H,0.08674103583009507,0.9132589641699049
1445,un ciel gris plane\\une petite fissure dans les nuages épais\\les bateaux de pêche rentrent,F,H,0.1501305244968446,0.8498694755031554
103,fin de l’été\\le trou de la poche du short\\encore plus grand,F,F,0.5950498969155846,0.40495010308441537
2414,reflets de la lune\\sur les canettes de Coca\\- benne à ferraille,H,H,0.17317280815946778,0.8268271918405322
1022,poubelle --\\des mouches\\et les ombres des mouches,H,H,0.048284531745186765,0.9517154682548132
101,Touillant le café\\avec ma vieille cuillère ~\\un nouveau jour,H,H,0.0018272226273310377,0.998172777372669
391,tonnerre lointain --\\une averse de pollen\\tombe des arbres,H,H,0.11164414092121966,0.8883558590787803
3158,gazaouï\\on pourrait croire\\le chant d'un oiseau,H,H,0.18288685043327968,0.8171131495667203
2482,une île flottante\\à coups de petite cuillère -\\m'échapper du monde,F,H,0.18406304859825096,0.815936951401749
1511,Vagues sur la plage\\bruit des galets roulant\\sous notre étreinte,F,H,0.3490217275460714,0.6509782724539286
2001,le lapin et le faucon --\\une affreuse vérité tache\\de rouge la neige fraîche,H,H,0.42336696417167685,0.5766330358283231
3295,halo du lampadaire -\\le merle noir plus noir\\que son ombre,H,H,0.18209706747525767,0.8179029325247423
1042,au plus fort de l'été\\où les ombres s'arrêtent\\le chien aussi,H,H,0.05811856290514006,0.9418814370948599
970,minuit.\\la ruade unique de l'étalon\\contre le mur,F,H,0.4436236992165099,0.5563763007834901
164,Des éclats de rires\\tombent par la fenêtre\\- samedi soir,H,H,0.06168624994727101,0.938313750052729
963,arrêt d'autobus\\ils sont deux à guetter\\un nuage,F,F,0.7630646062244183,0.23693539377558173
2964,soleil derrière le nuage\\une petite citrouille chaude\\dans ma paume,F,H,0.10327900004431456,0.8967209999556854
1402,Saisons des amours ~\\Les escargots ramassés\\deux par deux,F,H,0.4209817658002273,0.5790182341997727
2116,A la porte du cimetière\\trois vieux amis\\parlent rhumatismes,H,H,0.02973431936763793,0.9702656806323621
608,à Gaza\\la fumée des chars\\dans l'autre sens,H,F,0.8282138555079505,0.17178614449204957
1159,ce matin\\du balcon mouillé\\ramasser les restes de cire\\de la bougie-Charlie,H,F,0.6906411274479755,0.30935887255202454
