,url,id_auteur,auteur,sexe,pays,haiku
0,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2556&lg=f,quin-p,Philippe Quinta,H,France,"Fut-elle pleine\\déjà, elle décroit\\la lune"
1,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=701&lg=f,py-d,Daniel Py,H,France,Lune parfaitement ronde\\Buée sur la vitre
2,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6905&lg=f,alex-m,Marlène Alexa,F,Egypte,hiver\\dans les yeux de grand-mère\\une ombre grise
3,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6101&lg=f,sang-r,Rahmatou Sangotte,F,France,ciel gris -\\une odeur d'oignons\\caramélisés
4,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5769&lg=f,rais-c,Carol Raisfeld,F,USA,la fille du pasteur\\sa robe du dimanche\\de la couleur des ecchymoses
5,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5730&lg=f,ligi-l,Lilas Ligier,F,France,Sans toi\\sous le ciel d'hiver\\nos pas perdus
6,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1280&lg=f,boul-j,Josiane Boulanger,F,Belgique,"Avant de partir,\\dans le miroir du salon\\tes yeux et les miens."
7,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2684&lg=f,sprite, sprite,?,England,brusques giboulées -\\pleurs et puis rires de l'ado\\en quete d'emploi
8,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1453&lg=f,pala-p,Patrick Palaquer,H,France,les mots sous les doigts\\l'aveugle et son livre en braille\\frottement du papier
9,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6574&lg=f,wisd-j,John Wisdom,H,USA,les jours s'allongent\\même la gloire du matin\\d'une teinte plus bleue
10,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5845&lg=f,bilq-b,Bill Bilquin,H,Belgique,sur mon smartphone\\le mont fuji au soleil couchant\\café du matin
11,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=8074&lg=f,gabr-d,Damien Gabriels,H,France,l'orage s'éloigne -\\d'une fenêtre ouverte\\un prélude de Bach
12,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3509&lg=f,mena-pd,Paul David Mena,H,USA,nouvelle lune --\\la souris dans le grenier\\s'éveille
13,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4983&lg=f,mena-pd,Paul David Mena,H,USA,encore errant\\dans le couloir vide --\\un parfum bon marché
14,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1817&lg=f,brill-y,Yves Brillon,H,Canada,sortant du métro\\face à face avec la lune -\\retour du boulot
15,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7514&lg=f,gagn-c,Chase Gagnon,H,USA,j'oublie sa voix\\la lettre d'excuses de mon père\\crépite dans le feu
16,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5391&lg=f,pham-mt,Minh-Triêt Pham,H,France,journée mondiale du sida -\\je réinstalle\\mon antivirus
17,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3358&lg=f,bilq-b,Bill Bilquin,H,Belgique,soleil froid\\dans le parlement\\leurs hurlements
18,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1872&lg=f,py-d,Daniel Py,H,France,ceinture brune : sa peau\\entre top et pantalon\\- ligne quatorze
19,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3540&lg=f,dute-d,Danièle Duteil,F,France,temps d'orage -\\sous les bottes le bruit\\des pavés
20,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3332&lg=f,asun-i,Isabel Asunsolo,F,France,un peu avant l'aube\\éolienne immobile\\- vendredi saint
21,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4988&lg=f,gabr-d,Damien Gabriels,H,France,sortie du tunnel -\\un champ de colza éclaire\\le compartiment
22,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7708&lg=f,masm-s,Sarra Masmoudi,F,Tunisie,grosse lune du loup~\\quartier après quartier le panier\\de sanguines
23,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1604&lg=f,bala-i,Israel Balan,H,Mexico,à chaque gorgée\\de la bouteille\\le clair de lune sur mon visage
24,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2892&lg=f,hell-e,Eric Hellal,H,France,chaque soir\\au bout de la route\\l'usine Seveso
25,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=575&lg=f,chev-h,Henri Chevignard,H,France,Harley Davidson \\rutilante de rosée - \\dimanche d'été
26,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1095&lg=f,mena-pd,Paul David Mena,H,USA,Mercredi des Cendres --\\le prêtre\\allume une cigarette
27,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5789&lg=f,coud-b,Ben Coudert,H,France,premier café -\\des éclats de lune\\dans mon bol
28,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2308&lg=f,bala-i,Israel Balan,H,Mexico,long voyage --\\au bout de l'autoroute\\la lune
29,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7400&lg=f,masm-s,Sarra Masmoudi,F,Tunisie,éclipse partielle~\\le vieux chat\\titubant
30,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5237&lg=f,py-d,Daniel Py,H,France,noir à fleurs bleues\\le slip de l'altiste\\- Shostakovitch
31,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1732&lg=f,rais-c,Carol Raisfeld,F,USA,sifflement du train . . .\\l'empreinte de la main traîne\\sur la vitre
32,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6878&lg=f,cosb-c,Christian Cosberg,H,France,haïku cocaïne\\l'addiction\\en trois lignes
33,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6058&lg=f,mena-pd,Paul David Mena,H,USA,mon plan de retraite\\les rides\\dans une flaque de boue
34,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6657&lg=f,kolo-a,Angelika Kolompar Renville,F,Canada,Un ciel orange et rose -\\de la papetière un nuage gris\\sur ce froid jour de printemps
35,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=493&lg=f,py-d,Daniel Py,H,France,Grande Marée\\Le pétrole\\au plus haut
36,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1418&lg=f,mena-pd,Paul David Mena,H,USA,prévision boursière:\\record de chaleur\\suivi de pluie
37,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1056&lg=f,kolo-a,Angelika Kolompar Renville,F,Canada,"jour pluvieux\\dans la forêt pluvieuse\\plic, plic, plic"
38,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=153&lg=f,macr-c,Carole MacRury,F,USA,   dans la cour\\   au milieu de notre dispute --\\   une libellule rouge
39,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3344&lg=f,hell-e,Eric Hellal,H,France,T shirt -\\encore mieux armée\\sans armature
40,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2554&lg=f,py-d,Daniel Py,H,France,dans le bol de verveine\\l'ampoule du plafonnier\\- mi-novembre
41,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1031&lg=f,duha-a,André Duhaime,H,Canada,guitare et harmonica\\dans mon auto bob dylan aussi\\a encore 20 ans
42,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1026&lg=f,dudo-d,Denise Dudon,F,France,vitrail presque noir\\dans la cathédrale obscure\\Chartres sans soleil
43,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=8025&lg=f,mace-p,Philippe Macé,H,France,ma maison d’enfance\\par un carreau entrevoir\\l’obscurité
44,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5497&lg=f,mcdo-j,John McDonald,H,Scotland(UK),chandelles allumées\\des larmes en fondant\\jour de Nagasaki
45,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5910&lg=f,mena-pd,Paul David Mena,H,USA,flocons de neige --\\j'essaie de me souvenirs\\quand je suis devenu gris
46,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2189&lg=f,vanm-r,Robert Van Muylder,H,Belgique,inquiète -\\le tracé de ton nez\\sur la vitre
47,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5951&lg=f,mare-g,Gérard Maréchal,H,France,"Qi gong,\\lentement il fait tomber\\la neige du ciel"
48,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=2208&lg=f,mena-pd,Paul David Mena,H,USA,faisceau de triage à l'aube --\\de nouveaux graffiti\\sur le vieux fourgon
49,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5134&lg=f,holl-m,Mark Holloway,H,UK,ciel couvert\\jusqu'à ce qu'un papillon blanc se pose\\sur mon écran de téléphone
50,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5631&lg=f,dumo-g,Gérard Dumon,H,France,nuit étoilée\\le bonheur de pouvoir\\pisser sous la lune
51,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6540&lg=f,coud-b,Ben Coudert,H,France,retour au travail -\\le triste son du ressac\\de la photocopieuse
52,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=3784&lg=f,mena-pd,Paul David Mena,H,USA,premier de décembre ---\\l'obscurité\\avant l'aube
53,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=220&lg=f,asun-i,Isabel Asunsolo,F,France,Best Of Mac Donald\\deux limaçons roux\\sur une frite
54,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4212&lg=f,gabr-d,Damien Gabriels,H,France,après chaque voiture\\la ruée des pies\\vers l'amas de poils rouges
55,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4978&lg=f,mena-pd,Paul David Mena,H,USA,croissant de lune --\\la plenitude\\de ses lèvres
56,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=108&lg=f,sprite, sprite,?,England,   une boite du McDo\\   flotte vers la fontaine\\   un insecte à bord
57,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6009&lg=f,mcdo-j,John McDonald,H,Scotland(UK),pleine lune -\\un nouveau petit-fils\\têtant
58,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=4276&lg=f,gabr-d,Damien Gabriels,H,France,dans la vapeur\\de ma tasse de thé\\la lune montante
59,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5716&lg=f,naga-l,Louis Nagara,H,France,terrasse ensoleillée\\oublier Noël\\qui approche
60,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1950&lg=f,gabr-d,Damien Gabriels,H,France,minuit -\\avant le 12ème coup\\... la  chasse d'eau
61,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=7382&lg=f,dumo-g,Gérard Dumon,H,France,course sous l'orage\\l'odeur du grain\\dans la grange
62,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=6051&lg=f,mena-pd,Paul David Mena,H,USA,verglas --\\le médecin voudrait\\plus de tests
63,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=1940&lg=f,vass-f,Franck Vasseur,H,France,le dernier Kérouac\\à l'étroit \\entre Issa et Kervern
64,http://www.tempslibres.org/tl/tlphp/dbhk03.php?id=5960&lg=f,mcdo-j,John McDonald,H,Scotland(UK),passant devant leur maison vide -\\son petit baiser\\encore sur la vitre
